EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.16,Meter #12,12,Project Space,null,null,null,null,84:0d:8e:aa:83:27,TRUE,null
EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.14,Meter #21,21,Project Space,null,null,null,null,84:0d:8e:aa:88:48,TRUE,null
EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.12,Meter #15,15,Project Space,null,null,null,null,84:0d:8e:aa:80:5c,TRUE,null
EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.13,Meter #5,5,Project Space,null,null,null,null,84:0d:8e:aa:83:79,TRUE,null
EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.15,Meter #17,17,Project Space,null,null,null,null,84:0d:8e:aa:89:2d,FALSE,null
EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.17,Meter #26,26,Project Space,null,null,null,null,84:0d:8e:aa:88:dc,TRUE,null
EMMS Collaboratory Team,Spring 2019,WiFi V1.2,192.172.5.18,Meter #14,14,Project Space,null,null,null,null,84:0d:8e:aa:85:7f,TRUE,null
